44,27,23,13,17,15,3,9,8,6,1,1,1,1,1,0
22,28,27,11,16,17,2,10,11,10,0,0,0,0,0,0
23,28,27,13,19,15,1,11,9,8,0,0,0,0,1,0
23,26,27,18,24,15,1,14,10,7,1,1,1,1,0,0
18,24,24,9,11,15,1,5,9,8,0,1,0,0,0,0
17,23,20,10,16,13,0,8,7,6,0,0,0,0,0,0
16,20,21,9,15,15,0,5,10,9,0,0,0,0,0,0
17,14,16,9,11,11,0,6,7,6,0,0,0,0,0,1
13,16,18,10,13,12,1,8,7,7,0,0,0,0,0,0
29,12,8,2,6,5,0,1,2,3,0,0,0,0,0,1
12,17,18,8,12,14,2,7,7,9,1,1,1,1,0,0
19,25,23,11,15,16,0,8,10,8,0,0,0,0,0,0
17,19,18,5,9,14,1,4,7,9,0,0,0,0,0,0
14,18,17,6,9,14,1,4,7,8,0,0,0,0,0,0
10,17,16,5,10,12,1,5,7,7,0,0,0,0,0,0
9,2,2,0,0,3,0,2,0,1,0,0,0,0,0,0
11,16,16,5,11,10,0,4,5,7,0,0,0,0,0,0
14,10,9,4,4,6,1,2,1,3,0,1,0,0,1,1
9,10,11,6,8,8,0,4,6,5,0,0,0,0,0,0
10,14,12,6,9,9,1,4,4,4,0,0,0,0,0,0
15,5,4,3,4,4,2,4,1,3,1,1,1,1,0,0
6,12,12,3,8,6,0,3,5,2,0,0,0,0,0,0
13,12,11,8,8,7,0,6,4,5,0,0,0,0,0,0
10,3,4,1,2,3,1,3,0,2,1,1,1,1,0,0
10,12,12,5,7,8,0,3,4,6,0,0,0,0,0,0
